"id","term","definition","context","last_review","next_review","interval","repetitions","ease_factor","status"
"","correspondent","记者 / 通讯员","The war correspondent sent live reports from the battlefield.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","hang about","逗留 / 闲荡","They noticed a suspicious man hanging about the entrance.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","descend","下降 / 遗传 / 突然降临","We watched the sun descend below the horizon.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","feat","壮举 / 功绩","Completing the marathon was a remarkable feat of endurance.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","furnish … with …","向……提供……","The hotel will furnish you with all the necessary equipment.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","secrecy","保密 / 秘密状态","The mission was carried out in absolute secrecy.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","whatever","（用于否定句后）丝毫 / 根本","There is no doubt whatever about his guilt.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","censor","审查员 / 审查","The government decided to censor the sensitive news report.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","grin","咧嘴笑","He had a broad grin on his face after winning the game.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","infantry","步兵","The infantry advanced slowly across the open field.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","cavalry","骑兵","In the past the cavalry was the fastest unit in the army.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","make … (out) of …","理解 / 弄懂","I can't make anything out of this messy handwriting.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","foregone conclusion","预料中的必然结果","That they would win was a foregone conclusion.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","preconcerted","预先商定的","The meeting was a preconcerted attempt to change the policy.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","muffle","蒙住 / 抑制（声音）","She used a cushion to muffle the sound of the alarm.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","mooted","讨论过的 / 尚未定案的","The idea of a new tax was mooted in Parliament yesterday.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","parlous","危险的 / 极糟的","The company's finances are in a parlous state.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","incontrovertible","无可争议的","The video evidence provided incontrovertible proof of the crime.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","cipher","密码 / 暗号","The spy used a complex cipher to send the message.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","vernacular","方言 / 本地话","He wrote his poems in the local vernacular.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","acrostic","藏头诗","The first letters of each line in an acrostic form a word.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","pan out","（以特定方式）发展 / 结果是","We'll see how the new marketing strategy pans out.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","transpose","移置 / 调换顺序","Be careful not to transpose the digits in the phone number.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","hustle","匆忙做某事 / 催促","We had to hustle to get to the station on time.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","chop suey","杂烩 / 一团糟","The room was a real chop suey of old furniture and books.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","haul","拉 / 拖 / 运送","The truck had to haul a heavy load up the hill.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","servitude","奴役 / 劳役","Many people were sold into a life of servitude.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","patch","补丁 / 地块","He sowed seeds in a small patch of garden.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","watchman","看守人 / 巡夜者","The night watchman noticed the broken window.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","handy-man","杂工 / 手巧的人","The handy-man fixed the leaking tap in minutes.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","butt","（用头或角）撞","The goat tried to butt the fence.","2026-01-04","2026-01-05",1,1,2.6,"learning"
